set      5482    21     1 32768     2 | @0 = 2
set      5485     2     1 32769     1 | @1 = 1
call     5487 32769     1    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 2 ? 6035
jt       6034    18     7 32769  6048 | 1 ? 6048
push     6046  6027    18     2 32768 | 2
add      6050     9 32769 32769 32767 | @1: 1 + 32767 = 0
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 2 ? 6035
jt       6034    18     7 32769  6048 | 0 ? 6048
add      6038     9 32768 32768 32767 | @0: 2 + 32767 = 1
set      6041 32767     1 32769 32775 | @1 = 6
call     6043 32769 32775    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
jt       6034    18     7 32769  6048 | 6 ? 6048
push     6046  6027    18     2 32768 | 1
add      6050     9 32769 32769 32767 | @1: 6 + 32767 = 5
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
jt       6034    18     7 32769  6048 | 5 ? 6048
push     6046  6027    18     2 32768 | 1
add      6050     9 32769 32769 32767 | @1: 5 + 32767 = 4
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
jt       6034    18     7 32769  6048 | 4 ? 6048
push     6046  6027    18     2 32768 | 1
add      6050     9 32769 32769 32767 | @1: 4 + 32767 = 3
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
jt       6034    18     7 32769  6048 | 3 ? 6048
push     6046  6027    18     2 32768 | 1
add      6050     9 32769 32769 32767 | @1: 3 + 32767 = 2
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
jt       6034    18     7 32769  6048 | 2 ? 6048
push     6046  6027    18     2 32768 | 1
add      6050     9 32769 32769 32767 | @1: 2 + 32767 = 1
call     6052 32769 32767    17  6027 | 6027, 6027
jt       6026    18     7 32768  6035 | 1 ? 6035
